Onderdeel;Corrects;Attempts;Punten;Max
std-Opstarten;6;6;4;4
std-Connect;4;4;1;1
std-Disconnect;4;4;1;1
std-Berichten;4;4;1;1
std-BerichtNaVerandering;8;8;0,5;0,5
std-NetwerkPartitie;4;4;1;1
Opstarten;14;14;4;4
Connect;24;24;1;1
Disconnect;8;8;1;1
Berichten;8;8;1;1
BerichtNaVerandering;12;12;0,5;0,5
NetwerkPartitie;4;4;1;1
BovenLimiet;1;1;1;1
Totaal;-;-;18;(van 18)

Let op: deze berekening is niet het definitieve cijfer. Dit is alleen maar een automatisch gegenereerde score voor het testbare gedeelte, en het staat nog niet vast dat we dit bij de beoordeling gebruiken.

------------------------------------

Testcase;Status;Tijd;Omschrijving
Lijn-netwerk;Correct;0,58;Berichten sturen in gewijzigd netwerk
Lijn-netwerk;Correct;0,05;Routingtabelcheck (zijn buurnodes correct?)

------------------------------------

1;Standaard;Correct;4,48;Opstarten netwerk
Test 1 - Standaard

Correct: opstarten geslaagd, R-tabel in orde.

Log
start NetChange.exe 55500 55501 55502
start NetChange.exe 55501 55500 55502
start NetChange.exe 55502 55500 55501 55503 55504
start NetChange.exe 55503 55502 55505
start NetChange.exe 55504 55502 55505
start NetChange.exe 55505 55503 55504
55500 < Afstand naar 55501 is nu 1 via 55501
55501 < Afstand naar 55500 is nu 1 via 55500
55500 < Verbonden: 55501
55501 < Verbonden: 55500
55500 < Afstand naar 55502 is nu 1 via 55502
55501 < Afstand naar 55502 is nu 2 via 55500
55500 < Verbonden: 55502
55502 < Afstand naar 55500 is nu 1 via 55500
55502 < Verbonden: 55500
55502 < Afstand naar 55501 is nu 2 via 55500
55502 < Afstand naar 55503 is nu 1 via 55503
55500 < Afstand naar 55503 is nu 2 via 55502
55501 < Afstand naar 55503 is nu 3 via 55500
55502 < Verbonden: 55503
55503 < Afstand naar 55502 is nu 1 via 55502
55503 < Verbonden: 55502
55503 < Afstand naar 55500 is nu 2 via 55502
55503 < Afstand naar 55501 is nu 3 via 55502
55502 < Afstand naar 55504 is nu 1 via 55504
55500 < Afstand naar 55504 is nu 2 via 55502
55501 < Afstand naar 55504 is nu 3 via 55500
55503 < Afstand naar 55504 is nu 2 via 55502
55502 < Verbonden: 55504
55504 < Afstand naar 55502 is nu 1 via 55502
55504 < Verbonden: 55502
55504 < Afstand naar 55500 is nu 2 via 55502
55504 < Afstand naar 55501 is nu 3 via 55502
55504 < Afstand naar 55503 is nu 2 via 55502
55503 < Afstand naar 55505 is nu 1 via 55505
55502 < Afstand naar 55505 is nu 2 via 55503
55500 < Afstand naar 55505 is nu 3 via 55502
55504 < Afstand naar 55505 is nu 3 via 55502
55501 < Afstand naar 55505 is nu 4 via 55500
55503 < Verbonden: 55505
55505 < Afstand naar 55503 is nu 1 via 55503
55505 < Verbonden: 55503
55505 < Afstand naar 55502 is nu 2 via 55503
55505 < Afstand naar 55500 is nu 3 via 55503
55505 < Afstand naar 55501 is nu 4 via 55503
55505 < Afstand naar 55504 is nu 3 via 55503
55502 < Afstand naar 55501 is nu 1 via 55501
55503 < Afstand naar 55501 is nu 2 via 55502
55504 < Afstand naar 55501 is nu 2 via 55502
55505 < Afstand naar 55501 is nu 3 via 55503
55501 < Afstand naar 55502 is nu 1 via 55502
55502 < Verbonden: 55501
55501 < Verbonden: 55502
55501 < Afstand naar 55503 is nu 2 via 55502
55501 < Afstand naar 55504 is nu 2 via 55502
55501 < Afstand naar 55505 is nu 3 via 55502
55505 < Afstand naar 55504 is nu 1 via 55504
55504 < Afstand naar 55505 is nu 1 via 55505
55505 < Verbonden: 55504
55504 < Verbonden: 55505
55500 > R
55501 > R
55502 > R
55503 > R
55504 > R
55505 > R
55502 < 55502 0 local
55502 < 55500 1 55500
55502 < 55501 1 55501
55501 < 55501 0 local
55502 < 55503 1 55503
55501 < 55500 1 55500
55500 < 55500 0 local
55502 < 55504 1 55504
55501 < 55502 1 55502
55500 < 55501 1 55501
55501 < 55503 2 55502
55502 < 55505 2 55503
55500 < 55502 1 55502
55501 < 55504 2 55502
55500 < 55503 2 55502
55501 < 55505 3 55502
55500 < 55504 2 55502
55500 < 55505 3 55502
55503 < 55503 0 local
55504 < 55504 0 local
55503 < 55502 1 55502
55504 < 55502 1 55502
55503 < 55500 2 55502
55505 < 55505 0 local
55504 < 55500 2 55502
